num parti,nom parti,année,immobilisations incorporelles,écarts d'acquisition,terrains et constructions,autres immobilisations corporelles,participations et créances rattachées,prêts à des partis ou groupements politiques,autres immobilisations financières,stocks et en-cours,créances clients et comptes rattachés,autres créances,valeurs mobilières de placement,disponibilités,charges constatées d'avance,total général (i + ii + iii),réserves,excédent ou déficit de l'exercice,provisions pour risques,provisions pour charges,emprunts et dettes auprès d'établissement de crédit,dettes fournisseurs et comptes rattachés,dettes fiscales et sociales,autres dettes,produits constatés d'avance,total général (i + ii + iii + iv),"communication (presse, publications, télévisions, publicité, sites internet, réseaux sociaux)",contributions versées aux candidats,contributions à des partis ou groupements politiques,achats de marchandises et variation de stocks,autres achats et autres charges externes,impôts et taxes,salaires et traitements,charges sociales,total iv,total vi,dotations aux amortissements et dépréciations sur immobilisations,dotations aux provisions,total des charges (ii + iv +vi + vii + viii + ix),cotisations des adhérents,cotisations des élus,aide publique 1ère fraction,aide publique 2nde fraction,dons de personne physique,dévolutions de l'excédent des comptes de campagne,dévolutions de partis ou groupements politiques,prestations de services (manifestations et colloques),"ventes de marchandises, productions vendue (biens et services), production stockée et production immobilisée",total iii,total v,"reprise sur amortissements, dépréciations, provisions et transferts de charges",total des produits (i + iii + v),excédent ou déficit d'ensemble,total flux,deputes
95,union pour la democratie francaise,2012,111418,0,4476563,144065,15250,74062,1287,0,0,68211,0,3885,1281,4896022,0,22408,0,0,0,31095,213427,695227,0,4896022,0,0,0,0,66226,159837,1333677,656798,9409,169859,0,0,2537888,790,6476,0,0,2170,0,148130,0,0,250140,0,0,2560296,22408,5098184,0
104,europe ecologie les verts,2012,27867,0,0,2665396,85172,0,327835,1890,0,159869,58486,1961846,31431,5666893,0,-1478004,547347,47703,3150120,487117,560275,424282,4878,5666893,367259,0,0,1070660,2692339,147805,1714630,942783,210270,270089,0,0,9295720,1262602,2592644,1959902,591197,373738,3618,300,175226,946199,21101,319840,19445,7817716,-1478004,17113436,0
401,union pour un mouvement populaire,2012,1696537,0,35412866,6082543,230,1113179,990825,61830,0,11761916,207390,11100307,311458,68739081,0,-39567223,1999091,1152121,96384505,3725511,4440786,3884411,115888,68739081,33329182,0,0,0,39060362,1591784,7786320,4055420,2082284,401513,0,0,97891059,5647881,1551240,30143114,17693680,9412172,174299,58615,617723,10018427,156872,105838,56339,58323836,-39567223,156214895,499
455,l'alliance ecologiste independante,2012,0,0,0,551,0,0,1000,5402,0,1500,0,4006,2245,14704,0,-333145,0,0,136,94,0,14309,0,14704,73489,0,0,12698,144483,371,0,0,109917,121,0,0,345928,5320,0,0,0,3657,0,0,0,435,0,3371,0,12783,-333145,358711,0
529,mouvement democrate,2012,0,0,84515,205357,15,70682,7536,0,0,80414,46166,339740,5614,840039,0,-635437,85452,0,607700,129570,63254,14033,0,840039,420297,0,0,0,2355913,71289,122972,71939,77776,8440,0,0,5246221,317012,18110,3563689,929024,247028,6711,0,93496,288229,18101,2109,33388,4610784,-635437,9857005,0
531,association psle - nouveau centre,2012,21174,0,0,38566,0,0,15698,0,0,163552,0,167351,4904,411245,0,-250212,5000,0,648127,225190,65983,37102,0,411245,204951,0,0,24028,780822,28476,367462,139428,25668,7200,0,0,2140385,95105,80758,0,0,65066,0,1153722,28898,51415,147,1900,405000,1890173,-250212,4030558,24
1,democratie et republique,2013,0,0,0,0,0,0,0,0,0,0,0,106504,0,106504,0,-3213,0,0,0,0,0,0,0,106504,63000,0,0,0,0,21,0,0,0,0,0,0,311321,0,18294,271580,249774,14853,0,0,0,0,3381,0,0,308108,-3213,619429,15
40,front national,2013,6158,0,59760,530315,14000,1491377,127914,0,0,174329,0,1231070,7890,3642813,0,-651126,40000,0,0,1337162,1095116,41890,0,3642813,1508994,0,0,969228,3775866,273699,2081405,832273,155429,47640,0,0,10070886,2061394,499475,5543646,83258,258250,0,105000,555197,102140,39478,8951,44316,9419760,-651126,19490646,0
52,parti radical de gauche,2013,0,0,76225,104054,0,0,80369,0,0,62921,221627,610180,39243,1194619,0,247411,1800,0,1021,246089,69708,53628,0,1194619,720220,0,0,18036,901137,30686,178820,150210,10109,16328,0,0,2152322,180121,266569,1682091,1123984,114727,1153,31324,46326,42600,3329,11550,18000,2399733,247411,4552055,17
76,parti socialiste,2013,426008,0,16261493,4205430,1131541,891452,556243,31076,0,3903268,6590971,15241372,283576,50801058,0,952640,364189,8934004,14125079,3755016,4418489,7281105,281690,50801058,6182880,0,0,1408262,14784451,1629684,14436646,6576242,526794,521090,0,2425500,59747925,9032051,16289317,28480743,17359311,861540,1395,30601,665585,2423489,288380,705409,1421854,60700565,952640,120448490,254
