nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat_debut,mandat_fin
Jean-Yves Bony,1955-03-11,15,2,union pour un mouvement populaire,17.0,3,2007-07-20,2010-12-14
Jean-Claude Fruteau,1947-06-06,974,5,"socialiste, radical, citoyen et divers gauche",561.0,2,2007-06-20,2012-06-19
Gabrielle Louis-Carabin,1946-02-20,971,2,union pour un mouvement populaire,127.0,3,2007-06-20,2012-06-19
René-Paul Victoria,1954-08-27,974,1,union pour un mouvement populaire,111.0,2,2007-06-20,2012-06-19
Hervé Novelli,1949-03-06,37,4,union pour un mouvement populaire,86.0,4,2010-12-14,2012-06-19
Rudy Salles,1954-07-30,06,3,nouveau centre,385.0,2,2007-06-20,2012-06-19
Michel Diefenbacher,1947-07-15,47,2,union pour un mouvement populaire,128.0,2,2007-06-20,2012-06-19
Éric Diard,1965-07-21,13,12,union pour un mouvement populaire,234.0,3,2007-06-20,2012-06-19
Michel Destot,1946-09-02,38,3,"socialiste, radical, citoyen et divers gauche",543.0,2,2007-06-20,2012-06-19
Francis Saint-Léger,1957-02-22,48,1,union pour un mouvement populaire,227.0,2,2007-06-20,2012-06-19
Marie-Louise Fort,1950-12-03,89,3,union pour un mouvement populaire,230.0,1,2007-06-20,2012-06-19
Georges Mothron,1948-04-05,95,5,union pour un mouvement populaire,89.0,3,2007-06-20,2012-06-19
Monique Iborra,1945-03-08,31,6,"socialiste, radical, citoyen et divers gauche",463.0,2,2007-06-20,2012-06-19
Guy Chambefort,1944-10-14,03,1,"socialiste, radical, citoyen et divers gauche",650.0,3,2007-06-20,2012-06-19
Michel Issindou,1952-07-12,38,2,"socialiste, radical, citoyen et divers gauche",483.0,3,2007-06-20,2012-06-19
Yves Bur,1951-03-10,67,4,union pour un mouvement populaire,178.0,2,2007-06-20,2012-06-19
Jean-Michel Clément,1954-10-31,86,3,"socialiste, radical, citoyen et divers gauche",612.0,2,2007-06-20,2012-06-19
Jean-Marie Rolland,1950-09-25,89,2,union pour un mouvement populaire,300.0,4,2007-06-20,2012-06-19
Georges Tron,1957-08-01,91,9,union pour un mouvement populaire,370.0,3,2011-06-30,2012-06-19
Gérard Voisin,1945-08-18,71,1,union pour un mouvement populaire,44.0,2,2007-06-20,2012-06-19
Jean-Claude Beaulieu,1944-06-24,17,4,union pour un mouvement populaire,26.0,2,2007-07-20,2010-12-14
Pierre Bourguignon,1942-02-06,76,3,"socialiste, radical, citoyen et divers gauche",520.0,2,2007-06-20,2012-06-19
Jacqueline Irles,1957-05-24,66,4,union pour un mouvement populaire,158.0,2,2007-06-20,2012-06-19
Olivier Jardé,1953-03-28,80,2,nouveau centre,400.0,2,2007-06-20,2012-06-19
André Chassaigne,1950-07-02,63,5,democratie et republique,594.0,3,2007-06-20,2012-06-19
Jean-Michel Villaumé,1946-03-27,70,2,"socialiste, radical, citoyen et divers gauche",567.0,2,2007-06-20,2012-06-19
Philippe Goujon,1954-04-30,75,12,union pour un mouvement populaire,232.0,4,2007-06-20,2012-06-19
Jean Roatta,1941-12-13,13,3,union pour un mouvement populaire,80.0,2,2007-06-20,2011-12-06
Serge Blisko,1950-01-06,75,10,"socialiste, radical, citoyen et divers gauche",547.0,2,2007-06-20,2012-06-19
Jean-Paul Garraud,1956-02-27,33,10,union pour un mouvement populaire,6.0,2,2007-06-20,2012-06-19
Arnaud Montebourg,1962-10-30,71,6,"socialiste, radical, citoyen et divers gauche",503.0,2,2007-06-20,2012-06-19
Émile Blessig,1947-05-27,67,7,union pour un mouvement populaire,193.0,2,2007-06-20,2012-06-19
Marc Vampa,1946-06-08,27,3,nouveau centre,391.0,3,2007-07-20,2010-12-14
Olivier Dussopt,1978-08-16,07,2,"socialiste, radical, citoyen et divers gauche",381.0,2,2007-06-20,2012-06-19
Serge Grouard,1959-03-19,45,2,union pour un mouvement populaire,190.0,2,2007-06-20,2012-06-19
Nicolas Dhuicq,1960-11-29,10,1,union pour un mouvement populaire,239.0,2,2007-06-20,2012-06-19
Louis Guédon,1935-11-28,85,3,union pour un mouvement populaire,213.0,3,2007-06-20,2012-06-19
Jean-Marc Nesme,1943-03-23,71,2,union pour un mouvement populaire,336.0,2,2007-06-20,2012-06-19
Marcel Rogemont,1948-01-03,35,3,"socialiste, radical, citoyen et divers gauche",479.0,2,2007-06-20,2012-06-19
Monique Boulestin,1951-03-13,87,1,"socialiste, radical, citoyen et divers gauche",610.0,2,2007-06-20,2012-06-19
Marguerite Lamour,1956-06-12,29,3,union pour un mouvement populaire,129.0,3,2007-06-20,2012-06-19
Bernard Roman,1952-07-15,59,1,"socialiste, radical, citoyen et divers gauche",510.0,2,2007-06-20,2012-06-19
Bertrand Pancher,1958-06-05,55,1,union pour un mouvement populaire,326.0,1,2007-06-20,2012-06-19
Henri Cuq,1942-03-12,78,9,union pour un mouvement populaire,85.0,1,2007-06-20,2010-06-11
Sophie Primas,1962-06-07,78,9,union pour un mouvement populaire,47.0,3,2010-06-11,2011-09-30
Patricia Adam,1953-04-15,29,2,"socialiste, radical, citoyen et divers gauche",424.0,2,2007-06-20,2012-06-19
Didier Mathus,1952-05-25,71,4,"socialiste, radical, citoyen et divers gauche",524.0,2,2007-06-20,2012-06-19
André Santini,1940-10-20,92,10,nouveau centre,366.0,3,2009-07-24,2012-06-19
Denis Jacquat,1944-05-29,57,2,union pour un mouvement populaire,135.0,2,2007-06-20,2012-06-19
